YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1921,-4.40,-7.10,-6.80,-4.30,-0.80,2.20,4.70,5.80,2.70,-2.00,-2.10,-4.00,-5.49,-3.97,4.23,-0.47,-1.42
1922,-1.00,-1.80,-6.20,-3.80,-1.60,2.80,4.70,6.20,2.70,-0.10,-3.80,-2.70,-2.27,-3.87,4.57,-0.40,-0.49
1923,-5.90,-2.90,-0.90,-1.60,-1.60,1.00,4.80,4.10,2.20,0.90,-2.40,-3.80,-3.83,-1.37,3.30,0.23,-0.42
1924,-0.80,-4.90,-5.10,-3.80,-0.20,2.70,6.80,7.20,3.80,1.30,-2.60,-2.60,-3.17,-3.03,5.57,0.83,0.05
1925,-3.40,-3.20,-4.20,-0.90,0.90,3.80,5.00,6.10,4.20,0.10,-3.00,-4.60,-3.07,-1.40,4.97,0.43,0.23
1926,-1.90,-2.40,-5.90,-0.50,0.10,3.20,6.10,5.70,2.30,-2.60,-1.00,-4.80,-2.97,-2.10,5.00,-0.43,-0.12
1927,-4.50,-2.30,-3.90,-5.40,-1.70,2.00,6.00,6.00,3.20,-1.30,-1.20,-3.60,-3.87,-3.67,4.67,0.23,-0.66
1928,-3.50,-3.30,-3.60,-2.00,-0.70,1.90,4.10,4.70,3.70,1.30,-1.10,-2.20,-3.47,-2.10,3.57,1.30,-0.17
1929,-2.90,0.00,-1.90,-3.20,0.00,2.60,4.00,4.90,2.80,-1.80,-0.60,0.10,-1.70,-1.70,3.83,0.13,0.14
1930,-3.20,-2.80,-4.90,0.80,1.40,5.30,6.00,7.30,4.30,0.10,-2.90,-1.20,-1.97,-0.90,6.20,0.50,0.96
1931,-3.60,-4.20,-6.10,-0.30,-0.50,2.20,6.10,5.20,3.50,-2.00,2.00,-3.70,-3.00,-2.30,4.50,1.17,0.09
1932,-4.50,-1.60,-3.50,-4.00,0.60,2.80,6.60,6.10,2.10,-0.40,-3.10,-2.00,-3.27,-2.30,5.17,-0.47,-0.22
1933,-0.80,-4.90,-3.20,-4.60,-0.10,4.30,6.10,7.30,5.50,-0.40,-0.20,-0.60,-2.57,-2.63,5.90,1.63,0.58
1934,-4.30,-7.10,-3.50,-4.60,-0.50,3.30,6.80,7.70,8.00,1.90,-1.40,0.30,-4.00,-2.87,5.93,2.83,0.48
1935,-3.00,-6.00,-3.10,-3.20,-1.50,2.20,5.40,5.50,2.80,0.20,0.90,-3.10,-2.90,-2.60,4.37,1.30,0.04
1936,-6.90,-4.60,-5.80,-3.40,1.70,3.00,5.70,6.90,3.60,0.70,-1.80,-6.90,-4.87,-2.50,5.20,0.83,-0.33
1937,-0.90,-6.10,-6.90,-0.90,0.90,2.90,5.40,6.00,4.00,-0.30,-1.90,-0.60,-4.63,-2.30,4.77,0.60,-0.39
1938,-5.10,-3.40,-5.90,-3.90,-1.10,3.70,5.80,5.90,4.10,4.20,1.10,1.70,-3.03,-3.63,5.13,3.13,0.40
1939,-2.60,-3.20,-1.40,-2.90,1.20,3.10,5.90,7.40,4.50,2.10,-3.70,-5.80,-1.37,-1.03,5.47,0.97,1.01
1940,-3.10,-7.20,-4.90,-4.20,0.60,3.60,4.80,4.50,999.90,999.90,999.90,999.90,-5.37,-2.83,4.30,999.90,-0.89
1941,999.90,-10.30,999.90,999.90,-1.30,1.80,5.60,4.90,4.40,0.40,0.80,-4.30,999.90,999.90,4.10,1.87,999.90
1942,-3.10,-14.50,-8.60,-7.30,-2.90,999.90,999.90,4.50,3.00,0.40,-3.10,-5.70,-7.30,-6.27,999.90,0.10,-2.90
1943,-7.60,-5.20,-5.50,-4.50,-2.60,1.20,4.10,2.20,2.90,1.20,-2.50,-3.10,-6.17,-4.20,2.50,0.53,-1.83
1944,-6.80,-3.60,-5.20,-4.60,0.10,2.40,4.90,4.90,3.60,0.20,-3.00,-3.00,-4.50,-3.23,4.07,0.27,-0.85
1945,-5.40,-6.30,-3.60,-2.10,0.50,3.10,5.60,5.80,4.70,-0.60,-0.40,-5.30,-4.90,-1.73,4.83,1.23,-0.14
1946,0.20,-5.20,-4.80,-3.90,-0.90,2.90,5.60,6.50,4.80,3.00,-1.70,0.60,-3.43,-3.20,5.00,2.03,0.10
1947,1.20,-2.00,-7.40,-3.10,1.40,3.20,6.40,6.90,4.10,0.90,-3.30,-6.80,-0.07,-3.03,5.50,0.57,0.74
1948,-7.90,-2.10,-3.80,-2.90,-1.80,0.90,4.80,4.20,2.00,-0.20,-3.30,-4.40,-5.60,-2.83,3.30,-0.50,-1.41
1949,-4.60,-3.90,-4.70,-4.10,-0.90,3.30,4.70,4.10,3.20,-0.90,0.30,-3.70,-4.30,-3.23,4.03,0.87,-0.66
1950,-0.20,999.90,-4.30,-2.70,-0.50,2.20,5.30,7.20,4.50,2.10,-0.50,-4.10,-2.16,-2.50,4.90,2.03,0.57
1951,-4.30,-2.40,-7.00,-5.20,-0.70,0.30,3.90,6.20,4.10,0.70,-3.90,-3.80,-3.60,-4.30,3.47,0.30,-1.03
1952,-4.30,-5.90,-5.10,-1.30,-0.40,2.50,4.50,3.50,2.10,3.70,-1.60,-3.40,-4.67,-2.27,3.50,1.40,-0.51
1953,-5.00,-5.60,-6.00,-5.90,-0.60,4.60,5.50,7.40,4.70,1.90,-0.40,-0.50,-4.67,-4.17,5.83,2.07,-0.23
1954,-4.20,-3.30,-8.70,-4.10,-0.10,1.50,4.50,4.30,2.60,-0.20,2.30,-1.60,-2.67,-4.30,3.43,1.57,-0.49
1955,-7.10,-7.80,-6.60,-3.10,-2.00,1.70,4.90,5.30,4.30,-1.20,-2.10,-4.10,-5.50,-3.90,3.97,0.33,-1.27
1956,-4.90,-3.90,-2.70,-4.50,-0.60,0.60,4.90,3.70,2.00,0.00,-0.40,0.10,-4.30,-2.60,3.07,0.53,-0.82
1957,-1.10,-3.30,-3.20,-1.20,-0.90,1.30,4.20,5.10,3.40,0.60,-0.50,-4.10,-1.43,-1.77,3.53,1.17,0.38
1958,-2.60,-4.80,-3.20,-1.20,-0.30,2.70,4.20,5.70,4.10,2.40,-0.70,-4.10,-3.83,-1.57,4.20,1.93,0.18
1959,-6.60,-5.40,-2.80,-5.90,-1.60,0.90,3.60,4.70,3.30,3.40,-1.00,-1.10,-5.37,-3.43,3.07,1.90,-0.96
1960,-2.50,-5.10,-1.60,-1.40,0.40,2.50,5.30,5.70,5.90,0.70,0.40,-2.20,-2.90,-0.87,4.50,2.33,0.77
1961,-2.10,-3.60,-6.90,-5.60,0.20,2.40,4.20,6.40,4.60,4.10,-1.40,-5.80,-2.63,-4.10,4.33,2.43,0.01
1962,-2.90,-3.70,-7.20,-3.00,0.50,1.10,4.10,5.50,3.60,-1.80,-2.60,-3.10,-4.13,-3.23,3.57,-0.27,-1.02
1963,-6.70,999.90,-3.00,-3.90,0.40,3.00,3.30,4.60,4.00,2.00,-2.80,-3.70,-5.11,-2.17,3.63,1.07,-0.64
1964,-5.20,-6.00,-1.70,-2.20,-1.00,1.50,3.70,4.40,0.80,0.50,-5.90,-6.40,-4.97,-1.63,3.20,-1.53,-1.23
1965,-5.50,-4.30,999.90,-3.10,-2.00,1.20,3.60,5.80,3.00,1.90,-3.30,-7.60,-5.40,-3.51,3.53,0.53,-1.21
1966,-11.10,-8.90,-8.70,-1.20,-1.20,3.30,4.90,4.00,1.30,-0.70,-3.70,-4.20,-9.20,-3.70,4.07,-1.03,-2.47
1967,-7.90,-3.80,-9.20,-4.30,-1.00,1.10,3.50,3.40,3.00,-2.80,-5.90,-5.50,-5.30,-4.83,2.67,-1.90,-2.34
1968,999.90,999.90,999.90,-5.10,-3.10,1.00,999.90,999.90,2.40,-3.50,-1.80,-8.30,999.90,-5.06,999.90,-0.97,999.90
1969,-9.70,999.90,-9.70,-5.20,-1.20,2.60,5.10,6.70,2.20,-2.20,-6.10,-7.10,-9.21,-5.37,4.80,-2.03,-2.95
1970,999.90,999.90,999.90,-4.40,0.10,2.80,3.70,4.40,2.70,0.00,-1.90,-5.50,999.90,-3.11,3.63,0.27,-0.96
1971,-9.90,-4.80,-7.30,-4.60,0.00,2.50,3.60,4.40,2.50,1.30,-8.80,-5.90,-6.73,-3.97,3.50,-1.67,-2.22
