YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,10.3,9.1,10,12.6,16.8,17.4,17,19,18.1,16.1,12.1,12.2,9.9,13.1,17.8,15.4,14.06
1881,10.3,13.8,12.8,15.8,16.5,18.4,20.7,20.6,20.3,14.9,12.7,11.6,12.1,15,19.9,16,15.75
1882,8.7,9.3,11.8,12.9,16.3,17.8,20.5,21.6,18.4,16.1,13,12.4,9.9,13.7,20,15.8,14.83
1883,10.5,10,13.2,13.4,16.3,20.6,21.3,21,21.8,15.4,14,12,11,14.3,21,17.1,15.82
1884,10.7,11.7,11.7,13.6,16.2,18.5,21.4,21.8,18.1,15.8,14.6,10.3,11.5,13.8,20.6,16.2,15.51
1885,11.3,12.6,15.2,16.1,17.4,18.3,21,22.8,20.3,17.5,14.1,13.4,11.4,16.2,20.7,17.3,16.41
1886,11.6,14.3,11.7,13.6,16.9,19.1,21.1,22.4,18.4,14.3,12.5,12.3,13.1,14.1,20.9,15.1,15.78
1887,11.6,9.4,14,14.4,16.8,18.6,20.7,19.9,19.5,17.7,14.4,10.5,11.1,15.1,19.7,17.2,15.78
1888,8.5,11.2,11.8,16,15.8,19.4,21.7,21.5,21.9,17.6,14.2,12.8,10.1,14.5,20.9,17.9,15.84
1889,10,12.3,13.8,15.5,15.7,17.8,20.3,20.7,21.3,17.8,15,11.4,11.7,15,19.6,18,16.08
1890,8.2,11,12.9,13.9,16,18.5,21.6,21.4,20.6,18.6,17.7,14.9,10.2,14.3,20.5,19,15.98
1891,11.9,10.3,13.4,13.9,15.1,17.8,21.9,22.5,21.5,17.6,14.9,10.3,12.4,14.1,20.7,18,16.31
1892,12.4,11.1,12,13.5,15.6,16.4,18.7,20.7,18.6,16.5,15.2,11.1,11.3,13.7,18.6,16.8,15.08
1893,12.7,11.5,10.6,13,15.7,17.6,19.6,20.6,17.6,16.1,12.8,13.1,11.8,13.1,19.3,15.5,14.91
1894,9.1,9.5,10.8,13.6,14.4,15.8,18.4,19.8,19.4,17.5,13.9,10.8,10.6,12.9,18,16.9,14.61
1895,9.9,12.5,11.8,13.6,16.3,17.5,18.9,19.1,19.1,17.4,14.3,12.3,11.1,13.9,18.5,16.9,15.1
1896,12.9,14,13.4,12.1,15.9,19.3,20.3,20.5,18.5,17.3,14.1,13.7,13.1,13.8,20,16.6,15.88
1897,11.8,10.4,10.4,14.9,15.7,17.4,19.5,20.8,20,15.4,15.1,11.9,12,13.7,19.2,16.8,15.43
1898,9.5,13,11.6,15.8,14.3,18.2,20,22,20.4,16.8,14.6,12.5,11.5,13.9,20.1,17.3,15.68
1899,11.9,10.8,12.4,14.1,14,17.1,19.6,19,20,16.1,15.4,13,11.7,13.5,18.6,17.2,15.24
1900,14.4,13.1,15.4,13.9,17.1,18.9,21.5,20.5,20,18.8,16.5,14,13.5,15.5,20.3,18.4,16.93
1901,11.5,12.8,14.4,12.6,14.5,17.3,19.8,20.6,16.8,16.9,14.6,13.4,12.8,13.8,19.2,16.1,15.48
1902,11.9,11.2,11.5,13,14.6,17.8,18.9,19.3,19.4,16,13.3,12,12.2,13,18.7,16.2,15.03
1903,12.4,9.8,12.1,13.1,14.7,17.8,999.9,999.9,999.9,999.9,999.9,999.9,11.4,13.3,999.9,999.9,999.9
1904,999.9,999.9,999.9,999.9,999.9,18.5,19.5,21.5,21,18.5,17.4,14.1,999.9,999.9,19.8,19,999.9
1905,13.7,13.3,13.9,14,14.6,16.6,19.4,20,19.1,17.5,13.8,12.6,13.7,14.2,18.7,16.8,15.83
1906,11.9,13.4,13,13.8,14.3,18.2,21,20.1,19.7,19,13.6,12.3,12.6,13.7,19.8,17.4,15.88
1907,9.6,15.3,11.8,14.1,15,17,21,19.4,18.3,17.4,16.2,13.4,12.4,13.6,19.1,17.3,15.62
1908,12.3,11,13.1,14.9,14.1,16,19.9,19.9,19.7,16.8,13.9,11.5,12.2,14,18.6,16.8,15.42
1909,11.2,10.8,11.4,14.5,14.3,17.3,18.4,20,18.9,17.7,14.2,10.7,11.2,13.4,18.6,16.9,15.02
1910,10.7,11.7,13.6,16.2,15.8,16.6,19.8,19.8,20,18.2,14.2,14,11,15.2,18.7,17.5,15.61
1911,12.4,10,13.5,13.3,14.9,16.3,19.4,20,18.7,17.7,16.4,11.6,12.1,13.9,18.6,17.6,15.55
