latitude,longitude,geometry,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
37.73166479,-122.4431774,Point,9/3/13 8:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,INGLESIDE,NONE,300 Block of MONTEREY BL,-122.4431774,37.73166479
37.76869521,-122.3978426,Point,10/27/09 8:00,OTHER OFFENSES,RESISTING ARREST,Tuesday,BAYVIEW,NONE,1100 Block of 7TH ST,-122.3978426,37.76869521
37.78447885,-122.4042702,Point,6/11/08 12:25,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE,MISSION ST / 4TH ST,-122.4042702,37.78447885
37.75969169,-122.428204,Point,6/2/13 21:15,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE,19TH ST / CHURCH ST,-122.428204,37.75969169
37.78418891,-122.4101352,Point,11/15/08 11:25,ASSAULT,THREATS AGAINST LIFE,Saturday,TENDERLOIN,"ARREST, BOOKED",100 Block of EDDY ST,-122.4101352,37.78418891
37.78869895,-122.4203074,Point,6/29/05 9:49,OTHER OFFENSES,RESISTING ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",BUSH ST / POLK ST,-122.4203074,37.78869895
37.76802354,-122.4133435,Point,11/13/14 14:18,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,MISSION,"ARREST, BOOKED",ALAMEDA ST / HARRISON ST,-122.4133435,37.76802354
37.75863241,-122.4190527,Point,2/7/07 10:05,NON-CRIMINAL,LOST PROPERTY,Wednesday,MISSION,NONE,MISSION ST / 20TH ST,-122.4190527,37.75863241
37.79363635,-122.4077486,Point,6/15/08 10:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,CENTRAL,NONE,800 Block of STOCKTON ST,-122.4077486,37.79363635
37.74526077,-122.4212288,Point,7/9/07 13:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,INGLESIDE,NONE,0 Block of TIFFANY AV,-122.4212288,37.74526077
37.76141181,-122.4272424,Point,11/9/09 13:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,MISSION,NONE,3700 Block of 18TH ST,-122.4272424,37.76141181
37.7300248,-122.4271802,Point,12/30/05 17:30,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,INGLESIDE,NONE,100 Block of NEY ST,-122.4271802,37.7300248
37.78469691,-122.4136093,Point,5/21/05 17:16,NON-CRIMINAL,AIDED CASE,Saturday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.4136093,37.78469691
37.73291625,-122.4164461,Point,3/31/03 10:25,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Monday,INGLESIDE,NONE,900 Block of ELLSWORTH ST,-122.4164461,37.73291625
37.77727419,-122.4040716,Point,6/11/07 12:35,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,"ARREST, CITED",HARRISON ST / 6TH ST,-122.4040716,37.77727419
37.72852806,-122.4756475,Point,10/31/14 10:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,TARAVAL,NONE,3200 Block of 20TH AV,-122.4756475,37.72852806
37.79015677,-122.4083674,Point,2/21/14 7:15,NON-CRIMINAL,LOST PROPERTY,Friday,CENTRAL,NONE,600 Block of BUSH ST,-122.4083674,37.79015677
37.79872822,-122.435751,Point,8/24/13 1:30,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,NORTHERN,NONE,3100 Block of FILLMORE ST,-122.435751,37.79872822
37.78211985,-122.4156697,Point,2/7/08 21:10,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.4156697,37.78211985
37.73479699,-122.3906976,Point,5/17/13 13:45,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED",OAKDALE AV / 3RD ST,-122.3906976,37.73479699
37.74116878,-122.4771808,Point,8/8/08 23:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,TARAVAL,NONE,1900 Block of ULLOA ST,-122.4771808,37.74116878
