Timestamp,CO,NO2,NOX,O3
9/1/18 6:30,0.17,5.3,6.27,63.72
9/1/18 6:00,0.19,5.2,9.96,62.25
9/1/18 5:30,0.17,5.76,6.88,64.14
9/1/18 4:30,0.17,6.9,6.37,65.58
9/1/18 4:00,0.16,4.99,4.78,70.23
9/1/18 3:30,0.17,3.92,3.4,70.21
9/1/18 3:00,0.16,4.51,3.73,68.69
9/1/18 2:30,0.17,5.3,5.39,65.9
9/1/18 2:00,0.16,4.55,3.86,
9/1/18 1:30,0.19,5.43,5.28,64.4
9/1/18 1:00,0.17,6.39,6.1,58.29
9/1/18 0:30,0.19,7.21,6.71,57.86
9/1/18 0:00,0.19,6.83,6.85,59.25
8/1/18 23:30,0.19,7.04,6.39,59.95
8/1/18 23:00,0.19,9.41,9.08,55.9
8/1/18 22:30,0.2,10.73,10.46,53.19
8/1/18 22:00,0.23,16.03,16.05,46.3
8/1/18 21:30,0.22,17,17.67,45
8/1/18 21:00,0.24,28.61,28.82,27.92
8/1/18 20:30,0.24,30.79,31.82,26.18
8/1/18 20:00,0.26,29.13,30.03,28.44
8/1/18 19:30,0.23,26.83,26.64,33.55
8/1/18 19:00,0.22,20,20.33,44.78
8/1/18 18:30,0.22,19.68,20.52,46.62
8/1/18 18:00,0.22,21.02,21.53,45.04
8/1/18 17:30,0.23,19.35,19.34,49.39
8/1/18 17:00,0.28,23.49,24.37,44.16
8/1/18 16:30,0.27,17.96,18.19,51.89
8/1/18 16:00,0.28,17.96,18.59,52.71
8/1/18 15:30,0.27,21.57,23.45,46.34
8/1/18 15:00,0.27,28.34,32.65,33.63
8/1/18 14:30,0.24,31.15,38.82,28.84
8/1/18 14:00,0.28,31.84,45.12,27.46
8/1/18 13:30,0.31,35.53,55.88,23.65
8/1/18 13:00,0.33,39.44,70.55,20.48
8/1/18 12:30,0.31,35.61,58.85,24.67
8/1/18 12:00,0.35,39.63,74.42,19.6
8/1/18 11:30,0.35,38.98,70.82,20.4
8/1/18 11:00,0.34,42.82,81.61,17.3
8/1/18 10:30,0.36,44.24,87.94,14.91
8/1/18 10:00,0.36,45.8,91.72,11.89
8/1/18 9:30,0.36,49.95,104.94,8.64
8/1/18 9:00,0.37,48.14,89.89,7.52
8/1/18 8:30,0.37,47.33,74.89,7.08
8/1/18 8:00,0.37,47.81,71.07,6.91
8/1/18 7:30,0.35,44.56,61.03,10.7
8/1/18 7:00,0.3,41.67,52.06,13.33
8/1/18 6:30,0.28,36.68,40.81,19.04
8/1/18 6:00,0.26,26.87,28.25,27.42
8/1/18 5:30,0.26,19.56,19.83,34.39
8/1/18 5:00,0.24,17.12,16.77,38.92
8/1/18 4:30,0.24,18.25,18.44,37.2
8/1/18 3:30,0.28,16.16,16.98,39.14
8/1/18 3:00,0.27,15.45,16.37,41.43
8/1/18 2:30,0.26,12.41,13.27,46.12
8/1/18 2:00,0.27,16.35,17.33,40.87
8/1/18 1:30,0.28,19.62,20.98,35.04
8/1/18 1:00,0.28,19.03,20.27,
8/1/18 0:30,0.3,20.88,21.53,34.39
8/1/18 0:00,0.33,24.27,25.36,32.19
7/1/18 23:30,0.3,20.29,21.31,37.78
7/1/18 23:00,0.3,21.25,21.82,36.62
7/1/18 22:30,0.34,24.69,26.26,32.87
7/1/18 22:00,0.34,24.5,25.76,33.35
7/1/18 21:30,0.34,26.58,27.6,31.07
7/1/18 21:00,0.36,29.43,31.12,28.3
7/1/18 20:30,0.35,28.67,30.06,29.48
7/1/18 20:00,0.35,29.64,30.56,30.08
7/1/18 19:30,0.33,26.93,28.42,35.06
7/1/18 19:00,0.31,25.76,27.33,36.12
7/1/18 18:30,0.33,29.28,30.45,33.19
7/1/18 18:00,0.34,29.32,31.19,33.83
7/1/18 17:30,0.33,29.17,31.08,33.19
7/1/18 17:00,0.31,27.5,28.53,36.14
7/1/18 16:30,0.35,38.19,40.81,25.68
7/1/18 16:00,0.4,43.78,47.66,20.74
7/1/18 15:30,0.37,40.93,44.37,24.43
7/1/18 15:00,0.33,31.61,36.03,36.86
7/1/18 14:30,0.28,18.61,22.28,49.87
7/1/18 14:00,0.29,20.58,25.55,47.42
7/1/18 13:30,0.34,23.5,31.29,45.4
7/1/18 13:00,0.34,19.76,27.25,48.22
7/1/18 12:30,0.35,21.4,29.99,46.16
7/1/18 12:00,0.36,24.4,35.29,43.01
7/1/18 11:30,0.38,24.35,36.24,39.2
7/1/18 11:00,0.44,30.6,47.28,31.05
7/1/18 10:30,0.38,30.91,46.01,29.08
7/1/18 10:00,0.3,21.67,28.74,38.68
7/1/18 9:30,0.24,15.19,17.88,45.88
7/1/18 9:00,0.23,13.9,15.34,50.19
7/1/18 8:30,0.22,11.8,12.97,51.39
7/1/18 8:00,0.22,10.98,11.38,52.19
7/1/18 7:30,0.2,9.62,9.96,55.08
7/1/18 7:00,0.19,9.28,10.6,55.76
7/1/18 6:30,0.19,6.77,6.92,57.04
7/1/18 5:30,0.21,7.06,8.43,55.62
7/1/18 5:00,0.2,6.01,6.87,56.94
7/1/18 4:30,0.2,6.9,7.92,56.7
7/1/18 4:00,0.19,6.85,8.11,58.59
7/1/18 3:30,0.2,6.1,7.55,57.96
7/1/18 3:00,0.21,7.94,8.84,
7/1/18 2:30,0.23,8.4,9.54,53.25
7/1/18 2:00,0.22,7.15,8.55,54.26
7/1/18 1:30,0.22,7.86,8.55,53.19
7/1/18 1:00,0.22,8.8,10.17,52.69
7/1/18 0:30,0.23,8.61,10.29,52.55
7/1/18 0:00,0.23,9.03,9.93,52.87
