Timestamp,NO2,NOX
9/1/18 6:30,46.03,58.08
9/1/18 5:30,30.81,37.05
9/1/18 5:00,20.27,22.84
9/1/18 4:30,17.58,19.56
9/1/18 4:00,15.41,16.91
9/1/18 3:30,18.13,19.81
9/1/18 3:00,20.81,22.8
9/1/18 2:30,26.18,28.94
9/1/18 2:00,31.73,35.5
9/1/18 1:30,39.55,54.64
9/1/18 1:00,23.45,26.14
9/1/18 0:30,30.75,34.96
9/1/18 0:00,36.55,43.15
8/1/18 23:30,40.16,48.54
8/1/18 23:00,45.98,65.08
8/1/18 22:30,49.02,83.82
8/1/18 22:00,47.54,92.57
8/1/18 21:30,46.84,99.81
8/1/18 21:00,49.48,116.36
8/1/18 20:30,50.38,117.43
8/1/18 20:00,53.65,146.02
8/1/18 19:30,55.94,178.11
8/1/18 19:00,62.9,252.76
8/1/18 18:30,67.99,379.29
8/1/18 18:00,66.52,299.9
8/1/18 17:30,67.17,227.76
8/1/18 17:00,68.68,244.23
8/1/18 16:30,70.25,281.77
8/1/18 16:00,74.95,291.33
8/1/18 15:30,75.96,319.08
8/1/18 15:00,76,359.93
8/1/18 14:30,72.89,349.01
8/1/18 14:00,70.34,338.97
8/1/18 13:30,63.59,251.49
8/1/18 13:00,60.4,201.42
8/1/18 12:30,54.33,145.43
8/1/18 12:00,54.62,143.17
8/1/18 11:30,56.5,173.69
8/1/18 11:00,60.32,219.12
8/1/18 10:30,65.54,288.54
8/1/18 10:00,71.66,345.13
8/1/18 9:30,74.32,366.01
8/1/18 9:00,65.25,276.76
8/1/18 8:30,61.45,217.18
8/1/18 8:00,63.67,231.01
8/1/18 7:30,58.12,190.41
8/1/18 7:00,51.39,140.22
8/1/18 6:30,45.63,108.8
8/1/18 6:00,42.11,90.63
8/1/18 5:30,36.32,53.61
8/1/18 4:30,34.29,45.35
8/1/18 4:00,34.37,49.8
8/1/18 3:30,28.73,35.34
8/1/18 3:00,30.03,35.4
8/1/18 2:30,32.36,40.64
8/1/18 2:00,36.18,54.12
8/1/18 1:30,35.4,47.16
8/1/18 1:00,37.54,53.8
