CO,NO2,NOX,SO2,O3,PM10,PM25,Timestamp
0.25,29.0075,63.22666666666667,2.18,26.94,11.2,6.1,"9/1/18 6:30"
0.19,5.2,9.96,,,10.9,4.5,"9/1/18 6:00"
0.22000000000000003,18.515,36.56666666666666,0.75,42.97,8.2,3,"9/1/18 5:30"
0.24,14.583333333333334,26.96,0.32,56.58,6.3,3,"9/1/18 5:00"
0.2,10.05,14.176666666666668,0.05,62.41,6.2,3,"9/1/18 4:30"
0.195,9.68,13.896666666666667,0.24,63.04,5.3,1.4,"9/1/18 4:00"
0.195,8.927499999999998,11.566666666666668,,65.36,5.8,1.4,"9/1/18 3:30"
0.185,9.719999999999999,12.979999999999999,,,5.6,3,"9/1/18 3:00"
0.2,11.7525,15.410000000000002,0.11,61.77,7.9,3,"9/1/18 2:30"
0.19,13.592500000000001,18.563333333333333,0.16,58.13,7.9,3,"9/1/18 2:00"
0.21000000000000002,16.884999999999998,28.790000000000003,0.51,54.96,6.3,3,"9/1/18 1:30"
0.17,14.92,16.12,,50.21,6.4,3.9,"9/1/18 1:00"
0.215,14.6625,21.826666666666668,0.08,48.62,4.7,3.5,"9/1/18 0:30"
0.25,16.55,24.77,,49.53,4.4,3,"9/1/18 0:00"
0.23500000000000001,18.79,29.593333333333334,0.11,45.16,6.4,4.4,"8/1/18 23:30"
0.27,23.235,40.626666666666665,0.21,40.97,7.4,4.1,"8/1/18 23:00"
0.28,30.200000000000003,56.303333333333335,0.51,31.15,9.5,5.7,"8/1/18 22:30"
0.33,32.067499999999995,65.52,0.85,23.31,10,5.4,"8/1/18 22:00"
0.345,30.8075,65.49,0.59,23.95,8.6,7.4,"8/1/18 21:30"
0.305,32.7525,67.76,0.24,27.1,6.9,4.5,"8/1/18 21:00"
0.355,36.745,75.09,0.29,18.44,8,6.6,"8/1/18 20:30"
0.33999999999999997,39.485,93.94333333333334,0.88,13.79,15.7,10.5,"8/1/18 20:00"
0.365,43.695,112.83666666666666,1.57,14.03,19.3,11.5,"8/1/18 19:30"
0.39,43.5025,143.58,2.02,14.71,20.3,12.1,"8/1/18 19:00"
0.38,44.182500000000005,189.83666666666667,2.37,15.21,22,12,"8/1/18 18:30"
0.385,48.120000000000005,164.26333333333332,2.02,14.09,21.7,10.8,"8/1/18 18:00"
0.43,46.56,149.54666666666665,2.82,13.33,22.9,9.8,"8/1/18 17:30"
0.46,46.16,164.94333333333333,3.7,12.25,20.6,11.3,"8/1/18 17:00"
0.465,56.32,180.67,3.33,11.38,23.1,11.1,"8/1/18 16:30"
0.52,62.3425,202.82666666666668,4.68,5.69,25.2,11.2,"8/1/18 16:00"
0.53,61.86749999999999,211.88,4.71,7.66,25.8,12.5,"8/1/18 15:30"
0.5700000000000001,63.3925,245.79999999999998,6.17,2.95,27.8,15.5,"8/1/18 15:00"
0.505,66.42750000000001,255.85333333333332,7.1,4.05,26.7,13.4,"8/1/18 14:30"
0.505,61.67250000000001,243.53333333333333,6.57,4.39,26.1,13.2,"8/1/18 14:00"
0.47,58.377500000000005,207.23000000000002,5.75,4.37,27.1,12.1,"8/1/18 13:30"
0.44000000000000006,53.485,186.53,5.8,7.58,30,13.6,"8/1/18 13:00"
0.48,50.88250000000001,200.21000000000004,7.96,4.29,30.6,13.4,"8/1/18 12:30"
0.445,43.74,139.47333333333333,3.78,9,24,9.8,"8/1/18 12:00"
0.385,59.64,136.12333333333333,2.79,10.78,22.3,11,"8/1/18 11:30"
0.44500000000000006,65.2175,204.29,6.31,5.03,29.3,14,"8/1/18 11:00"
0.435,69.715,243.67333333333332,6.92,3.87,23.6,12.5,"8/1/18 10:30"
0.475,74.23249999999999,287.51,8.44,1.94,37,20.1,"8/1/18 10:00"
0.505,77.2,309.31333333333333,9.58,1.1,29.2,12.5,"8/1/18 9:30"
0.425,77.38749999999999,241.15666666666667,6.92,1.3,24.1,12.4,"8/1/18 9:00"
0.44,70.465,224.44999999999996,7.34,0.48,27,12.7,"8/1/18 8:30"
0.48,70.55250000000001,210.7833333333333,6.39,0.76,23.4,11.6,"8/1/18 8:00"
0.48,66.60249999999999,182.59333333333333,5.67,2.49,22.2,12.5,"8/1/18 7:30"
0.41000000000000003,61.8125,159.12,5.22,3.33,22.2,10,"8/1/18 7:00"
0.395,58.235,141.2566666666667,5.4,4.69,28,14,"8/1/18 6:30"
0.345,50.7025,137.12666666666667,5.88,0,18.7,13.2,"8/1/18 6:00"
0.265,35.144999999999996,62.78000000000001,2.26,12.97,14.9,9,"8/1/18 5:30"
0.24,17.12,16.77,,,12.5,7,"8/1/18 5:00"
0.24,31.9925,53.87,1.25,14.79,16.3,11.5,"8/1/18 4:30"
0.26,39.03666666666667,67.35,0.77,4.85,14.4,9.2,"8/1/18 4:00"
0.26,27.982499999999998,37.916666666666664,0.48,14.03,12.1,7.6,"8/1/18 3:30"
0.255,23.715,30.25,0.45,32.27,11.2,6.7,"8/1/18 3:00"
0.245,21.6575,26.34,0.32,39.83,9.8,6.8,"8/1/18 2:30"
0.245,24.020000000000003,33.27,0.29,,13.5,9.1,"8/1/18 2:00"
0.28,30.192500000000003,43.50333333333333,0.35,9.88,14.1,10.7,"8/1/18 1:30"
0.29500000000000004,34.184999999999995,62.589999999999996,1.33,6.65,17.7,11.3,"8/1/18 1:00"
0.29000000000000004,33.435,53.663333333333334,0.67,11.77,14.5,9.9,"8/1/18 0:30"
0.315,33.5025,58.18,0.77,14.19,16.8,11.9,"8/1/18 0:00"
0.32,33.4875,56.28,0.69,11.1,15.9,11.5,"7/1/18 23:30"
0.33499999999999996,38.1175,65.05,1.01,7.22,19.9,14.5,"7/1/18 23:00"
0.36,39.239999999999995,72.99333333333334,0.85,11.42,16.4,11.9,"7/1/18 22:30"
0.38,42.2625,86.24666666666667,1.49,7.04,17.6,11.9,"7/1/18 22:00"
0.405,43.589999999999996,86.09666666666665,1.36,3.77,18.8,13.4,"7/1/18 21:30"
0.395,42.8575,87.80666666666666,1.22,4.81,19.1,13.4,"7/1/18 21:00"
0.42,44.3325,93.25,1.68,3.55,20.5,13.6,"7/1/18 20:30"
0.395,45.6425,97.27,1.62,6.11,18.5,12.7,"7/1/18 20:00"
0.38,40.9325,84.00333333333333,0.98,17.26,18.3,12.5,"7/1/18 19:30"
0.405,41.54,89.83666666666666,1.36,13.87,18.9,12.9,"7/1/18 19:00"
0.42500000000000004,42.825,91.34333333333332,1.33,15.69,14.5,10.9,"7/1/18 18:30"
0.44500000000000006,46.197500000000005,95.71333333333332,1.3,15.67,18.5,13.9,"7/1/18 18:00"
0.52,49.834999999999994,119.73000000000002,2.58,5.51,24.2,18,"7/1/18 17:30"
0.47,49.155,122.75333333333333,2.45,2.69,21.8,12.7,"7/1/18 17:00"
0.49,53.8225,137.04333333333332,2.74,6.63,24.1,15.6,"7/1/18 16:30"
0.56,52.732499999999995,123.38,2.47,9.24,26.5,14.5,"7/1/18 16:00"
0.635,50.97,126.17333333333333,3.09,8.8,23.6,13.2,"7/1/18 15:30"
0.44000000000000006,45.94,108.22666666666665,2.16,12.71,20.8,10.1,"7/1/18 15:00"
0.41500000000000004,40.02,91.89999999999999,2.26,18.82,18,9.3,"7/1/18 14:30"
0.39,42.3625,88.56666666666666,1.7,25.03,13.4,8.3,"7/1/18 14:00"
0.49,45.43,107.66666666666667,3.09,18.16,18.5,10.6,"7/1/18 13:30"
0.44000000000000006,43.447500000000005,93.24000000000001,2.9,23.27,13,8,"7/1/18 13:00"
0.45,43.74,95.7,2.71,23.31,16.8,11.5,"7/1/18 12:30"
0.42,44.515,105.48666666666668,2.29,23.77,15.9,7.5,"7/1/18 12:00"
0.5,48.04,128.22,3.65,19.2,20.3,7,"7/1/18 11:30"
0.545,50.845000000000006,144.8033333333333,4.47,9.86,34.5,14.1,"7/1/18 11:00"
0.5449999999999999,56.8725,174.47333333333333,6.12,2.95,34.5,10.6,"7/1/18 10:30"
0.49,48.629999999999995,130.1,3.65,7.1,26,9.4,"7/1/18 10:00"
0.39,43.9125,101.96999999999998,3.41,8.36,19.5,9,"7/1/18 9:30"
0.32,43.597500000000004,94.86666666666667,2.74,8.52,22,9.5,"7/1/18 9:00"
0.25,38.1025,73.08,1.6,14.17,0,7.6,"7/1/18 8:30"
0.26,36.162499999999994,56.96666666666666,1.06,23.29,8,6.1,"7/1/18 8:00"
0.22,34.73,49.92000000000001,0.75,26.86,6.5,7.9,"7/1/18 7:30"
0.21000000000000002,31.186666666666667,46.945,1.01,22.73,8.8,6.3,"7/1/18 7:00"
0.2,26.835,31.153333333333336,0.64,28.88,7.6,6.8,"7/1/18 6:30"
0.2,26.71666666666667,34.91,0.67,36.52,8.2,5,"7/1/18 6:00"
