Timestamp,Solar Radiation,Relative Humidity,Temperature,Wind Direction,Wind Speed
9/1/18 6:30,0.08,86.67,0.74,67.34382,6.46
9/1/18 6:00,0.09,85.04,1.53,72.32389,5.08
9/1/18 5:30,0.09,84.11,1.93,77.24911,4.77
9/1/18 5:00,0.09,82.8,2.24,84.94275,3.85
9/1/18 4:30,0.09,82.99,2.24,87.75913,3.82
9/1/18 4:00,0.13,83.76,2.06,86.9357,4.52
9/1/18 3:30,0.19,83.74,2.12,99.36152,4.23
9/1/18 3:00,0.24,84.3,2.19,99.88688,3.89
9/1/18 2:30,0.22,85.49,2,98.58594,3.69
9/1/18 2:00,0.17,87.9,1.62,104.2705,3.53
9/1/18 1:30,0.1,89.89,1.09,104.1587,3.3
9/1/18 1:00,0.11,90.14,1.07,92.39645,3.09
9/1/18 0:30,0.12,90.87,0.93,92.31004,3.31
9/1/18 0:00,0.11,91.82,0.81,103.4669,3.17
8/1/18 23:30,0.15,91.14,0.94,100.7605,3.1
8/1/18 23:00,0.12,91.17,1.28,101.8024,3.01
8/1/18 22:30,0.12,92.36,1.34,104.6053,2.52
8/1/18 22:00,0.09,92.86,0.5,105316,1.5
8/1/18 21:30,0.1,91.8,-0.05,135.6276,1.78
8/1/18 21:00,0.1,90.2,0.67,118.6105,2.04
8/1/18 20:30,0.1,92.11,0.66,120.8721,2.03
8/1/18 20:00,0.11,88.6,1.08,131959,2.59
8/1/18 19:30,0.1,86.7,1.85,96.08031,2.26
8/1/18 19:00,0.11,86.13,2.26,98.48895,2.21
8/1/18 18:30,0.11,86.81,1.92,67.83782,2.05
8/1/18 18:00,0.07,85.09,2.3,85.58249,1.72
8/1/18 17:30,0.09,81.76,3.03,93.24649,2.01
8/1/18 17:00,0.09,81.12,3.18,97.90717,1.89
8/1/18 16:30,0.09,80.88,3.29,85.93193,2.05
8/1/18 16:00,0.54,79.66,3.66,90.85693,2.13
8/1/18 15:30,5.91,78.87,3.86,92.28101,1.96
8/1/18 15:00,38.58,80.28,3.51,80.65839,2.02
8/1/18 14:30,76.96,82.5,2.63,56.14161,2.1
8/1/18 14:00,111.96,79.83,2.65,52.07231,1.85
8/1/18 13:30,141.88,79.48,2.32,51.04796,1.6
8/1/18 13:00,164.29,79.21,2.18,22.64831,1.14
8/1/18 12:30,179.8,79.9,1.89,334.9909,1.6
8/1/18 12:00,185.09,80.06,1.45,284.3968,2.11
8/1/18 11:30,181.78,80.37,0.88,279.6091,2.18
8/1/18 11:00,171.55,80.24,0.58,263.7966,2.4
8/1/18 10:30,142.45,81.75,0.1,253.9417,2.97
8/1/18 10:00,110.78,83.53,-0.29,249935,2.53
8/1/18 9:30,73.51,85.44,-0.66,246.3027,2.62
8/1/18 9:00,27.35,86.56,-0.95,247.3259,2.98
8/1/18 8:30,7.2,87.06,-1.07,254.6817,3.47
8/1/18 8:00,0.19,87.27,-1.3,253504,3.58
8/1/18 7:30,0.03,86.67,-1.3,250898,3.6
8/1/18 7:00,0.03,85.95,-1.45,249.7174,3.76
8/1/18 6:30,0.03,85.3,-1.49,250.3149,3.74
8/1/18 6:00,0.03,84.99,-1.66,234.3236,3.42
8/1/18 5:30,0.03,84.07,-1.54,238.0071,3.07
8/1/18 5:00,0.03,83.47,-1.34,250.8112,2.72
8/1/18 4:30,0.03,82.8,-1.46,246.3104,2.98
8/1/18 4:00,0.03,81.94,-1.68,240.0223,3.42
8/1/18 3:30,0.03,81.1,-1.76,229.4502,2.9
8/1/18 3:00,0.03,80.53,-1.46,238.2691,3.43
8/1/18 2:30,0.03,79.1,-1.12,246.5389,3.82
8/1/18 2:00,0.03,79.22,-1.42,247.8737,3.55
8/1/18 1:30,0.03,81.07,-1.78,224.66,2.14
8/1/18 1:00,0.03,81.01,-1.87,213.2012,2.54
8/1/18 0:30,0.03,80.77,-1.9,208425,2.34
8/1/18 0:00,0.03,79.21,-1.68,234.9406,2.51
7/1/18 23:30,0.03,77.42,-1.43,227.2704,3
7/1/18 23:00,0.03,76.75,-1.57,222.5968,2.85
7/1/18 22:30,0.03,77.84,-1.68,222.2656,2.68
7/1/18 22:00,0.03,78.06,-1.45,227.5762,2.6
7/1/18 21:30,0.03,79.15,-1.43,216.3744,2.15
7/1/18 21:00,0.03,80.64,-1.56,214.4839,2.44
7/1/18 20:30,0.03,80.22,-1.41,213.8241,2.57
7/1/18 20:00,0.03,79.56,-1.31,221.4185,2.7
7/1/18 19:30,0.03,77.56,-0.92,227.4172,3.07
7/1/18 19:00,0.03,76.5,-0.75,229.6174,3.43
7/1/18 18:30,0.03,76.75,-0.69,232.0823,3.01
7/1/18 18:00,0.03,76.98,-0.55,233489,2.98
7/1/18 17:30,0.03,75.99,-0.35,225.5162,2.94
7/1/18 17:00,0.03,74.78,-0.1,212.0179,2.52
7/1/18 16:30,0.03,74.74,0.25,223.4204,2.61
7/1/18 16:00,0.04,73.88,0.57,222.4438,2.38
7/1/18 15:30,9.65,71.3,0.99,229.6309,2.21
7/1/18 15:00,42.26,68.12,1.4,219.8963,2.28
7/1/18 14:30,82.65,67.26,1.38,220.4462,2.59
7/1/18 14:00,120.75,65.58,1.43,227.8495,2.34
7/1/18 13:30,152.76,65.58,1.26,248.1986,2
7/1/18 13:00,176.14,64.8,1.13,246098,1.74
7/1/18 12:30,189.92,65.59,0.83,262.1426,1.58
7/1/18 12:00,192.3,66.11,0.81,265.4165,1.32
7/1/18 11:30,186.44,67.49,0.96,259.2589,0.74
7/1/18 11:00,172.22,68.8,0.46,267.4579,0.67
7/1/18 10:30,148.58,71.26,-0.35,256414,0.7
7/1/18 10:00,116.7,73.63,-1.16,274.7036,0.85
7/1/18 9:30,79.45,75.12,-1.7,288.5849,1.19
7/1/18 9:00,26.2,74.64,-2.06,295.9395,1.6
7/1/18 8:30,4.52,73.74,-2.37,315.9309,2.07
7/1/18 8:00,0.05,72.9,-2.35,319.9516,2.66
7/1/18 7:30,0.03,71.88,-2.52,313.1874,2.31
7/1/18 7:00,0.03,71.01,-2.37,316.2812,2.22
7/1/18 6:30,0.03,73.65,-2.55,313.7567,2.18
7/1/18 6:00,0.03,74.71,-2.77,319.1471,3
7/1/18 5:30,0.03,76.13,-2.85,316.8596,2.39
7/1/18 5:00,0.03,75.54,-2.65,319.3847,2.71
7/1/18 4:30,0.03,75.32,-2.67,325.9259,2.54
7/1/18 4:00,0.03,73.05,-2.38,322.7404,3.11
7/1/18 3:30,0.03,72.6,-2.28,329.1942,2.7
7/1/18 3:00,0.03,72.91,-2.15,335.5029,2.83
7/1/18 2:30,0.03,75.34,-2.25,322.0437,3.08
7/1/18 2:00,0.03,74.62,-1.93,323.7261,2.64
7/1/18 1:30,0.03,74.71,-1.92,325.1455,1.89
7/1/18 1:00,0.03,75.54,-1.94,321.3596,2.43
7/1/18 0:30,0.03,74.79,-1.87,318.6051,2.9
7/1/18 0:00,0.03,74.28,-1.74,316.4735,3.06
6/1/18 23:30,0.03,75.39,-1.71,315.4107,2.94
6/1/18 23:00,0.03,69.87,-0.88,329.3952,2.38
6/1/18 22:30,0.03,68.74,-0.67,1.574329,3.97
6/1/18 22:00,0.03,69.52,-0.78,5.038855,5.27
6/1/18 21:30,0.03,70.85,-0.82,2.679974,4.84
6/1/18 21:00,0.04,70.68,-0.74,359.1375,4.86
6/1/18 20:30,0.04,71.86,-0.79,350.6009,5.03
6/1/18 20:00,0.04,73.12,-0.62,348562,4.56
6/1/18 19:30,0.03,73.96,-0.45,327.8002,3.69
6/1/18 19:00,0.03,76.5,-0.37,315.5355,3.76
6/1/18 18:30,0.03,79.92,-0.21,309.9759,3.73
6/1/18 18:00,0.03,80.54,0.07,307.3584,3.52
6/1/18 17:30,0.03,81.11,0.37,311.2218,3.24
6/1/18 17:00,0.03,83.76,0.67,308.4408,3.51
6/1/18 16:30,0.03,85.42,1.05,304.7395,3.01
6/1/18 16:00,0.05,84.43,1.35,315372,3.12
6/1/18 15:30,4.77,83.57,1.73,319.1539,3.47
6/1/18 15:00,15.37,85.34,1.97,324.5173,3.64
6/1/18 14:30,14.74,84.9,2.48,324.0395,3.79
6/1/18 14:00,40.34,86.38,2.66,301.8979,2.85
6/1/18 13:30,60.74,87.69,2.47,313.3334,2.04
6/1/18 13:00,95.12,89.8,2.17,323.3876,1.65
6/1/18 12:30,84.04,90.02,2.01,300.1074,2.2
6/1/18 12:00,68.64,89.22,1.91,283.3092,1.85
6/1/18 11:30,61.14,89.86,1.76,273.6572,1.5
6/1/18 11:00,67.25,91.04,1.45,286.5698,1.39
6/1/18 10:30,41.66,91.16,0.97,297.9622,1.98
6/1/18 10:00,10.82,91.06,0.98,293.3049,1.8
6/1/18 9:30,8.38,89.99,1.13,295.5845,2.46
6/1/18 9:00,4.2,88.07,1.34,305302,2.02
6/1/18 8:30,1.29,87.14,1.49,294.8637,2.13
6/1/18 8:00,0.07,84.67,1.76,289.1243,1.7
6/1/18 7:30,0.06,84.26,1.9,276.8671,1.37
6/1/18 7:00,0.06,83.73,1.86,264.5125,1.88
6/1/18 6:30,0.06,83.76,1.72,257.8719,2.33
6/1/18 6:00,0.06,83.92,1.58,266.4821,2.28
6/1/18 5:30,0.03,83.97,1.5,260.0679,1.84
6/1/18 5:00,0.03,84.33,1.52,253.5121,2.1
6/1/18 4:30,0.05,84.22,1.65,247.6135,2.45
6/1/18 4:00,0.03,84.26,1.72,245.5175,2.31
6/1/18 3:30,0.03,84.41,1.73,232705,1.99
6/1/18 3:00,0.03,84.71,1.7,238.6097,2.34
6/1/18 2:30,0.04,84.14,1.67,221.9516,2.19
6/1/18 2:00,0.03,82.43,1.94,233.0337,1.76
6/1/18 1:30,0.06,82.02,1.83,253.2889,2.39
6/1/18 1:00,0.04,81.29,1.94,263.62,2.24
6/1/18 0:30,0.05,79.62,2.12,243.2202,2.95
6/1/18 0:00,0.06,81.36,2.12,221.7246,2.71
5/1/18 23:30,0.06,82.83,2.07,232.8884,2.44
5/1/18 23:00,0.09,82.9,2.06,223.7232,3.19
5/1/18 22:30,0.09,82.34,2.14,216.2026,3.11
5/1/18 22:00,0.06,80.75,2.13,222.1928,3.22
5/1/18 21:30,0.03,78.9,2.16,244.3334,3.06
5/1/18 21:00,0.06,77.46,2.46,235.3973,2.52
5/1/18 20:30,0.06,77.8,2.54,241.7984,2.77
5/1/18 20:00,0.09,80.41,2.5,240.8178,3.35
5/1/18 19:30,0.1,82.14,2.55,248.2204,3.87
5/1/18 19:00,0.07,84.37,2.58,250.5467,3.6
5/1/18 18:30,0.06,86.27,2.61,247.1721,3.36
5/1/18 18:00,0.07,87.54,2.69,251.6396,3.81
5/1/18 17:30,0.08,87.05,2.92,277.8577,2.24
5/1/18 17:00,0.06,86.35,2.97,274.7636,2.78
5/1/18 16:30,0.06,86.38,3.39,265.1044,2.93
5/1/18 16:00,0.21,87.3,3.44,258.6201,2.78
5/1/18 15:30,4.54,85.5,3.45,247.9586,3.35
5/1/18 15:00,21.01,83.1,3.42,268.4055,2.54
5/1/18 14:30,27.67,83.82,3.16,282.4515,2.56
5/1/18 14:00,34.09,84.55,3,298951,2.71
5/1/18 13:30,92.64,85.45,3.2,298309,3.4
5/1/18 13:00,73.61,85.57,3.35,306.2216,2.38
5/1/18 12:30,80.12,84.61,3.19,322.2715,2.64
5/1/18 12:00,96.42,85.93,3.14,332.6318,2.29
5/1/18 11:30,57.61,87.58,3.07,341.9142,1.93
5/1/18 11:00,34.62,87.21,2.93,10.00095,2.32
5/1/18 10:30,36.79,88.2,2.84,14.00774,3.04
5/1/18 10:00,23.52,90.2,2.77,5.183271,3.06
5/1/18 9:30,13.02,90.79,2.68,7.861425,2.53
5/1/18 9:00,5.53,90.86,2.53,18.95648,2.73
5/1/18 8:30,1.47,91.31,2.51,27.03943,2.87
5/1/18 8:00,0.15,91.05,2.54,29.08885,2.88
5/1/18 7:30,0.06,90.5,2.61,29.8609,2.29
5/1/18 7:00,0.08,88.24,3.07,44.08534,2.37
5/1/18 6:30,0.09,88.98,2.92,44.0773,2.52
5/1/18 6:00,0.1,88.51,2.75,41.99598,3.16
5/1/18 5:30,0.09,88.43,2.66,43.34451,3.65
5/1/18 5:00,0.07,88.41,2.84,46.58882,3.91
5/1/18 4:30,0.06,90.39,2.91,40.22942,3.62
5/1/18 4:00,0.08,91.09,2.89,37.54723,3.75
5/1/18 3:30,0.09,89.72,3.2,38.78762,3.3
5/1/18 3:00,0.07,86.51,3.83,56.67508,2.55
5/1/18 2:30,0.06,83.49,3.94,56.60044,2.11
5/1/18 2:00,0.05,83.15,3.71,55.14212,1.87
5/1/18 1:30,0.03,75.84,4.73,69.31931,1.68
5/1/18 1:00,0.05,75.55,4.69,105.5379,1.41
5/1/18 0:30,0.07,76.9,4.21,146.8713,1.46
5/1/18 0:00,0.07,80.64,3.67,168.0204,1.78
4/1/18 23:30,0.08,81.06,3.66,166.1887,2.15
4/1/18 23:00,0.05,78.32,3.77,168.1839,1.86
4/1/18 22:30,0.05,75.72,3.9,184.4617,2.59
4/1/18 22:00,0.08,77.58,3.95,187.9601,2.55
4/1/18 21:30,0.09,78.91,3.76,185.1297,3.35
4/1/18 21:00,0.09,79.48,3.46,187.9745,3.26
4/1/18 20:30,0.06,80.04,3.25,190.3578,2.73
4/1/18 20:00,0.06,80.6,3.26,196.4915,2.89
4/1/18 19:30,0.06,81.02,3.35,201.2879,3.33
4/1/18 19:00,0.06,82.49,3.43,198.6654,3.35
4/1/18 18:30,0.05,82.47,3.25,194.0951,3.2
4/1/18 18:00,0.05,80.96,3.2,204.0965,3.09
4/1/18 17:30,0.06,79.81,3.29,208.1366,3.06
4/1/18 17:00,0.06,80.34,3.44,215.0407,3.61
4/1/18 16:30,0.06,81.35,3.54,217.0836,4.18
4/1/18 16:00,0.2,81.08,3.61,216.1507,3.89
4/1/18 15:00,16.72,79.79,3.95,225.5924,4.41
4/1/18 14:30,39.49,80.81,3.98,238.0073,4.06
