Timestamp,CO,NO2,NOX,SO2,O3,PM10,PM2.5
9/1/18 6:30,0.33,49.76,125.33,2.18,26.94,11.2,6.1
9/1/18 6:00,,,,,,10.9,4.5
9/1/18 5:30,0.27,30.7,65.77,0.75,42.97,8.2,3
9/1/18 5:00,0.24,18.72,31.08,0.32,56.58,6.3,3
9/1/18 4:30,0.23,11.28,16.6,0.05,62.41,6.2,3
9/1/18 4:00,0.23,13.71,20,0.24,63.04,5.3,1.4
9/1/18 3:30,0.22,9.51,11.49,,65.36,5.8,1.4
9/1/18 3:00,0.21,8.82,12.41,,,5.6,3
9/1/18 2:30,0.23,9.31,11.9,0.11,61.77,7.9,3
9/1/18 2:00,0.22,10.61,16.33,0.16,58.13,7.9,3
9/1/18 1:30,0.23,17.42,26.45,0.51,54.96,6.3,3
9/1/18 1:00,,,,,50.21,6.4,3.9
9/1/18 0:30,0.24,14.88,23.81,0.08,48.62,4.7,3.5
9/1/18 0:00,0.31,15.38,24.31,,49.53,4.4,3
8/1/18 23:30,0.28,21.78,33.85,0.11,45.16,6.4,4.4
8/1/18 23:00,0.35,27.62,47.72,0.21,40.97,7.4,4.1
8/1/18 22:30,0.36,41.41,74.63,0.51,31.15,9.5,5.7
8/1/18 22:00,0.43,46.3,87.94,0.85,23.31,10,5.4
8/1/18 21:30,0.47,44.22,78.99,0.59,23.95,8.6,7.4
8/1/18 21:00,0.37,37.66,58.1,0.24,27.1,6.9,4.5
8/1/18 20:30,0.47,45.71,76.02,0.29,18.44,8,6.6
8/1/18 20:00,0.42,53.72,105.78,0.88,13.79,15.7,10.5
8/1/18 19:30,0.5,60.34,133.76,1.57,14.03,19.3,11.5
8/1/18 19:00,0.56,61.01,157.65,2.02,14.71,20.3,12.1
8/1/18 18:30,0.54,66.4,169.7,2.37,15.21,22,12
8/1/18 18:00,0.55,75.98,171.36,2.02,14.09,21.7,10.8
8/1/18 17:30,0.63,73.69,201.54,2.82,13.33,22.9,9.8
8/1/18 17:00,0.64,64.24,226.23,3.7,12.25,20.6,11.3
8/1/18 16:30,0.66,91.36,242.05,3.33,11.38,23.1,11.1
8/1/18 16:00,0.76,97.86,298.56,4.68,5.69,25.2,11.2
8/1/18 15:30,0.79,88.91,293.11,4.71,7.66,25.8,12.5
8/1/18 15:00,0.87,85.49,344.82,6.17,2.95,27.8,15.5
8/1/18 14:30,0.77,100.43,379.73,7.1,4.05,26.7,13.4
8/1/18 14:00,0.73,91.84,346.51,6.57,4.39,26.1,13.2
8/1/18 13:30,0.63,88.53,314.32,5.75,4.37,27.1,12.1
8/1/18 13:00,0.55,77.28,287.62,5.8,7.58,30,13.6
8/1/18 12:30,0.65,96.87,396.35,7.96,4.29,30.6,13.4
8/1/18 12:00,0.54,70.23,200.83,3.78,9,24,9.8
8/1/18 11:30,0.42,66.33,163.86,2.79,10.78,22.3,11
8/1/18 11:00,0.55,88.55,312.14,6.31,5.03,29.3,14
8/1/18 10:30,0.51,91.36,354.54,6.92,3.87,23.6,12.5
8/1/18 10:00,0.59,85.01,425.68,8.44,1.94,37,20.1
8/1/18 9:30,0.65,91.28,456.99,9.58,1.1,29.2,12.5
8/1/18 9:00,0.48,96.5,356.82,6.92,1.3,24.1,12.4
8/1/18 8:30,0.51,90.79,381.28,7.34,0.48,27,12.7
8/1/18 8:00,0.59,92.18,330.27,6.39,0.76,23.4,11.6
8/1/18 7:30,0.61,76.88,296.34,5.67,2.49,22.2,12.5
8/1/18 7:00,0.52,74.4,285.08,5.22,3.33,22.2,10
8/1/18 6:30,0.51,80.52,274.16,5.4,4.69,28,14
8/1/18 6:00,0.43,80.8,292.5,5.88,0,18.7,13.2
8/1/18 5:30,0.27,46.99,114.9,2.26,12.97,14.9,9
8/1/18 5:00,,,,,,12.5,7
8/1/18 4:30,0.24,50.32,97.82,1.25,14.79,16.3,11.5
8/1/18 4:00,0.26,58.03,84.9,0.77,4.85,14.4,9.2
8/1/18 3:30,0.24,47.3,61.43,0.48,14.03,12.1,7.6
8/1/18 3:00,0.24,27.06,38.98,0.45,32.27,11.2,6.7
8/1/18 2:30,0.23,19.35,25.11,0.32,39.83,9.8,6.8
8/1/18 2:00,0.22,20.64,28.36,0.29,,13.5,9.1
8/1/18 1:30,0.28,46.4,62.37,0.35,9.88,14.1,10.7
8/1/18 1:00,0.31,60.82,113.7,1.33,6.65,17.7,11.3
8/1/18 0:30,0.28,49.15,76.69,0.67,11.77,14.5,9.9
8/1/18 0:00,0.3,43.66,78.47,0.77,14.19,16.8,11.9
7/1/18 23:30,0.34,46.55,75.05,0.69,11.1,15.9,11.5
7/1/18 23:00,0.37,57.15,96.43,1.01,7.22,19.9,14.5
7/1/18 22:30,0.38,51.85,91.53,0.85,11.42,16.4,11.9
7/1/18 22:00,0.42,58.83,121.29,1.49,7.04,17.6,11.9
7/1/18 21:30,0.47,64.05,123.97,1.36,3.77,18.8,13.4
7/1/18 21:00,0.43,60.72,117.24,1.22,4.81,19.1,13.4
