Timestamp,NO2,NOX
9/1/18 6:30,14.94,16.39
9/1/18 5:30,6.79,7.52
9/1/18 5:00,4.76,5.2
9/1/18 4:30,4.44,4.82
9/1/18 4:00,4.61,4.9
9/1/18 3:30,4.15,4.74
9/1/18 3:00,4.74,5.57
9/1/18 2:30,6.22,6.77
9/1/18 2:00,7.48,8.05
9/1/18 1:30,5.14,6.06
9/1/18 0:30,5.81,5.6
9/1/18 0:00,7.44,6.83
8/1/18 23:30,6.18,6.27
8/1/18 23:00,9.93,10.38
8/1/18 22:30,19.64,19.87
8/1/18 22:00,18.4,19.18
8/1/18 21:30,15.17,16.01
8/1/18 21:00,15.26,15.84
8/1/18 20:30,20.1,21.32
8/1/18 20:00,21.44,21.96
8/1/18 19:30,31.67,34.06
8/1/18 19:00,30.1,31.71
8/1/18 18:30,22.66,24.17
8/1/18 18:00,28.96,31.1
8/1/18 17:30,26.03,27.43
8/1/18 17:00,28.23,29.43
8/1/18 16:30,45.71,50.05
8/1/18 16:00,58.6,83.35
8/1/18 15:30,61.03,89.73
8/1/18 15:00,63.74,103.68
8/1/18 14:30,61.24,98.67
8/1/18 14:00,52.67,79.45
8/1/18 13:30,45.86,68.52
8/1/18 13:00,36.82,55.18
8/1/18 12:30,16.72,31.67
8/1/18 12:00,10.48,40.83
8/1/18 11:30,76.75,218.27
8/1/18 11:00,69.18,181.96
8/1/18 10:30,77.72,328.95
8/1/18 10:00,94.46,
8/1/18 9:30,93.25,
8/1/18 9:00,99.66,
8/1/18 8:30,82.29,409.54
8/1/18 8:00,78.55,321.53
8/1/18 7:30,86.85,320.31
8/1/18 7:00,79.79,247.9
8/1/18 6:30,70.11,148.33
8/1/18 6:00,53.03,67.11
8/1/18 5:30,37.71,42.02
8/1/18 4:30,25.11,27.06
8/1/18 4:00,24.71,26.32
8/1/18 3:30,19.74,21.92
8/1/18 3:00,22.32,24.5
8/1/18 2:30,22.51,24.98
8/1/18 2:00,22.91,24.48
8/1/18 1:30,19.35,21.73
8/1/18 1:00,19.35,21.06
8/1/18 0:30,24.33,25.21
8/1/18 0:00,24.56,26.07
7/1/18 23:30,24.06,25.34
7/1/18 23:00,30.39,32.76
7/1/18 22:30,34.37,36.82
7/1/18 22:00,36.66,39.11
7/1/18 21:30,34.58,37.2
7/1/18 21:00,29.87,30.56
7/1/18 20:30,31.98,33.32
7/1/18 20:00,35.52,37.08
7/1/18 19:30,31.04,32.4
7/1/18 19:00,28.17,29.51
7/1/18 18:30,32.97,34.94
7/1/18 18:00,41.73,45.63
7/1/18 17:30,40.64,43.97
7/1/18 17:00,32.97,35.65
7/1/18 16:30,34.04,35.99
7/1/18 16:00,36.05,38.86
7/1/18 15:30,34.62,39.28
7/1/18 15:00,28.78,31.71
7/1/18 14:30,26.51,30.27
7/1/18 14:00,41.56,52.84
7/1/18 13:30,40.12,51.94
7/1/18 13:00,38.4,52.5
7/1/18 12:30,46.21,69.9
7/1/18 12:00,43.99,66.12
7/1/18 11:30,46.13,71.62
7/1/18 11:00,50.59,82.33
7/1/18 10:30,46.01,79.58
7/1/18 10:00,47.6,96.96
7/1/18 9:30,43.93,90.42
7/1/18 9:00,45.44,99.45
7/1/18 8:30,37.73,65.08
7/1/18 8:00,46.53,67.86
7/1/18 7:30,45.61,62.56
7/1/18 7:00,39.03,48.79
7/1/18 6:30,38.15,43.41
7/1/18 6:00,33.39,37.68
7/1/18 5:30,28.25,31.63
7/1/18 5:00,17.23,18.42
7/1/18 4:30,13.2,14.55
7/1/18 3:30,15.55,18.09
7/1/18 3:00,14.48,16.47
7/1/18 2:30,18.99,20.73
7/1/18 2:00,20.77,23.12
7/1/18 1:30,19.74,21.61
7/1/18 1:00,11.84,12.51
7/1/18 0:30,13.08,14.21
