CO,NO2,NOX,SO2,O3,PM10,PM25,Timestamp,Date,Time
0.25,29.0075,51.5175,2.18,45.33,11.2,6.1,"9/1/18 6:30","9/1/18","06:30"
0.19,5.2,9.96,,62.25,10.9,4.5,"9/1/18 6:00","9/1/18","06:00"
0.22000000000000003,18.515,29.304999999999996,0.75,53.555,8.2,3,"9/1/18 5:30","9/1/18","05:30"
0.24,14.583333333333334,19.706666666666667,0.32,56.58,6.3,3,"9/1/18 5:00","9/1/18","05:00"
0.2,10.05,11.8375,0.05,63.995,6.2,3,"9/1/18 4:30","9/1/18","04:30"
0.195,9.68,11.6475,0.24,66.635,5.3,1.4,"9/1/18 4:00","9/1/18","04:00"
0.195,8.927499999999998,9.86,,67.785,5.8,1.4,"9/1/18 3:30","9/1/18","03:30"
0.185,9.719999999999999,11.127500000000001,,68.69,5.6,3,"9/1/18 3:00","9/1/18","03:00"
0.2,11.7525,13.25,0.11,63.83500000000001,7.9,3,"9/1/18 2:30","9/1/18","02:30"
0.19,13.592500000000001,15.934999999999999,0.16,58.13,7.9,3,"9/1/18 2:00","9/1/18","02:00"
0.21000000000000002,16.884999999999998,23.1075,0.51,59.68000000000001,6.3,3,"9/1/18 1:30","9/1/18","01:30"
0.17,14.92,16.12,,54.25,6.4,3.9,"9/1/18 1:00","9/1/18","01:00"
0.215,14.6625,17.77,0.08,53.239999999999995,4.7,3.5,"9/1/18 0:30","9/1/18","00:30"
0.25,16.55,20.284999999999997,,54.39,4.4,3,"9/1/18 0:00","9/1/18","00:00"
0.23500000000000001,18.79,23.762500000000003,0.11,52.555,6.4,4.4,"8/1/18 23:30","8/1/18","23:30"
0.27,23.235,33.065,0.21,48.435,7.4,4.1,"8/1/18 23:00","8/1/18","23:00"
0.28,30.200000000000003,47.195,0.51,42.17,9.5,5.7,"8/1/18 22:30","8/1/18","22:30"
0.33,32.067499999999995,53.934999999999995,0.85,34.805,10,5.4,"8/1/18 22:00","8/1/18","22:00"
0.345,30.8075,53.120000000000005,0.59,34.475,8.6,7.4,"8/1/18 21:30","8/1/18","21:30"
0.305,32.7525,54.78,0.24,27.51,6.9,4.5,"8/1/18 21:00","8/1/18","21:00"
0.355,36.745,61.6475,0.29,22.310000000000002,8,6.6,"8/1/18 20:30","8/1/18","20:30"
0.33999999999999997,39.485,75.9475,0.88,21.115000000000002,15.7,10.5,"8/1/18 20:00","8/1/18","20:00"
0.365,43.695,93.1425,1.57,23.79,19.3,11.5,"8/1/18 19:30","8/1/18","19:30"
0.39,43.5025,115.61250000000001,2.02,29.745,20.3,12.1,"8/1/18 19:00","8/1/18","19:00"
0.38,44.182500000000005,148.42000000000002,2.37,30.915,22,12,"8/1/18 18:30","8/1/18","18:30"
0.385,48.120000000000005,130.9725,2.02,29.564999999999998,21.7,10.8,"8/1/18 18:00","8/1/18","18:00"
0.43,46.56,119.0175,2.82,31.36,22.9,9.8,"8/1/18 17:30","8/1/18","17:30"
0.46,46.16,131.065,3.7,28.205,20.6,11.3,"8/1/18 17:00","8/1/18","17:00"
0.465,56.32,148.015,3.33,31.635,23.1,11.1,"8/1/18 16:30","8/1/18","16:30"
0.52,62.3425,172.95749999999998,4.68,29.2,25.2,11.2,"8/1/18 16:00","8/1/18","16:00"
0.53,61.86749999999999,181.3425,4.71,27,25.8,12.5,"8/1/18 15:30","8/1/18","15:30"
0.5700000000000001,63.3925,210.26999999999998,6.17,18.290000000000003,27.8,15.5,"8/1/18 15:00","8/1/18","15:00"
0.505,66.42750000000001,216.5575,7.1,16.445,26.7,13.4,"8/1/18 14:30","8/1/18","14:30"
0.505,61.67250000000001,202.5125,6.57,15.925,26.1,13.2,"8/1/18 14:00","8/1/18","14:00"
0.47,58.377500000000005,172.5525,5.75,14.01,27.1,12.1,"8/1/18 13:30","8/1/18","13:30"
